annotation_numeric_id,human_preference,constructed_gold_preference,gpt_5_4_preference,gpt_5_4_mini_preference,quality_level_gap
100,B,B,A,B,1
101,A,A,B,B,2
102,B,B,B,B,1
299,A,A,B,B,1
300,A,B,B,B,2
301,B,A,B,B,1
498,B,B,B,B,1
499,B,B,A,B,1
500,B,B,B,B,2
600,B,B,B,B,1
601,B,B,A,B,1
602,B,B,B,B,2
899,A,B,B,B,1
900,B,B,A,B,1
901,A,B,B,B,2
1400,A,B,B,B,2
1401,A,A,A,A,1
1402,A,A,A,B,1
1700,B,B,B,B,2
1701,A,A,A,A,1
1702,A,A,A,A,1
1998,B,B,B,B,1
1999,B,B,B,B,1
2000,B,B,B,B,2
2598,B,B,A,A,2
2599,A,B,B,B,1
2600,A,B,A,B,1
2998,A,A,A,A,2
2999,B,B,A,A,1
3000,B,B,B,B,1
