policy,success_rate,mean_cost,success_per_100k_cost,local_fraction,unsafe_admission_rate,unsafe_given_local,mean_k_given_local,regime
top1,0.487744,51.38162,949.2577306826838,1.0,0.88928,0.88928,1.0,iid
top3,0.731772,77.07243,949.46013769126,1.0,0.433356,0.433356,3.0,iid
scalar_ci,0.707868,72.82707,971.9847304031317,1.0,0.472732,0.472732,2.638028,iid
vector_mean,0.736064,101.17742,727.4982896381426,0.902488,0.0,0.0,3.16285645903325,iid
vector_ci,0.746316,104.42159,714.7142655077365,0.902488,0.0,0.0,3.461701429825106,iid
vector_robust05,0.766084,126.30513,606.5343505841767,0.706888,0.0,0.0,3.713357703059042,iid
vector_robust10,0.75836,172.76074,438.96547328982274,0.455644,0.0,0.0,3.5614295370947495,iid
whole,0.749608,300.0,249.86933333333334,0.0,0.0,0.0,,iid
top1,0.472936,51.28622,922.15023840712,1.0,0.888508,0.888508,1.0,poor_localizer_shift
top3,0.716276,76.92933,931.083112253805,1.0,0.432808,0.432808,3.0,poor_localizer_shift
scalar_ci,0.698232,72.68263,960.6586883275963,1.0,0.47236,0.47236,2.63994,poor_localizer_shift
vector_mean,0.731012,100.83776,724.9387531020126,0.903192,0.050304,0.05569579889990168,3.1656834870105137,poor_localizer_shift
vector_ci,0.740972,104.06242,712.0457125636709,0.903192,0.050304,0.05569579889990168,3.462488596001736,poor_localizer_shift
vector_robust05,0.76202,126.116345,604.2198574657392,0.707164,0.0,0.0,3.715155183238966,poor_localizer_shift
vector_robust10,0.75622,172.584225,438.1744623530917,0.45644,0.0,0.0,3.5715800543335376,poor_localizer_shift
whole,0.749844,300.0,249.948,0.0,0.0,0.0,,poor_localizer_shift
top1,0.460712,51.31868,897.7471751027111,1.0,0.88884,0.88884,1.0,poor_localizer_severe_shift
top3,0.699696,76.97802,908.9555693950039,1.0,0.434232,0.434232,3.0,poor_localizer_severe_shift
scalar_ci,0.68532,72.771115,941.7472853068143,1.0,0.521796,0.521796,2.640128,poor_localizer_severe_shift
vector_mean,0.722248,100.98847,715.1786733673656,0.902908,0.179976,0.19932927828748886,3.16549637393843,poor_localizer_severe_shift
vector_ci,0.732568,104.224415,702.8756170039428,0.902908,0.179976,0.19932927828748886,3.4646099048851045,poor_localizer_severe_shift
vector_robust05,0.755628,126.08987,599.2773249746391,0.7075,0.048968,0.06921272084805653,3.7172749116607773,poor_localizer_severe_shift
vector_robust10,0.7514,172.58664,435.3755308058607,0.456464,0.0,0.0,3.5725752742823094,poor_localizer_severe_shift
whole,0.749428,300.0,249.80933333333334,0.0,0.0,0.0,,poor_localizer_severe_shift
